date,prefecture,count
2021-05-07,13,231
2021-05-07,13,574
2021-05-07,13,53
2021-05-07,14,789
2021-05-07,14,287
2021-05-07,14,222
2021-05-07,14,166
2021-05-07,14,17
2021-05-07,15,111
2021-05-07,15,420
2021-05-07,15,60
2021-05-07,15,220
2021-05-07,15,17
2021-05-07,16,69
2021-05-07,16,95
2021-05-07,16,21
2021-05-07,16,26
2021-05-07,16,8
2021-05-07,17,40
2021-05-07,17,145
2021-05-07,17,9
2021-05-07,17,69
2021-05-07,17,1
2021-05-07,18,157
2021-05-07,18,327
2021-05-07,18,27
2021-05-07,18,126
2021-05-07,18,17
2021-05-07,19,86
2021-05-07,19,255
2021-05-07,19,31
2021-05-07,19,195
2021-05-07,19,4
2021-05-07,20,112
2021-05-07,20,460
2021-05-07,20,42
2021-05-07,20,308
2021-05-07,20,15
2021-05-07,21,149
2021-05-07,21,519
2021-05-07,21,47
2021-05-07,21,160
2021-05-07,21,57
2021-05-07,21,26
2021-05-07,22,240
2021-05-07,22,275
2021-05-07,22,82
2021-05-07,22,202
2021-05-07,22,11
2021-05-07,23,412
2021-05-07,23,744
2021-05-07,23,173
2021-05-07,23,360
2021-05-07,23,23
2021-05-07,24,74
2021-05-07,24,301
2021-05-07,24,28
2021-05-07,24,193
2021-05-07,24,6
2021-05-07,25,128
2021-05-07,25,746
2021-05-07,25,56
2021-05-07,25,461
2021-05-07,25,9
2021-05-07,26,458
2021-05-07,26,310
2021-05-07,26,228
2021-05-07,26,114
2021-05-07,26,17
2021-05-07,27,803
2021-05-07,27,1157
2021-05-07,27,231
2021-05-07,27,642
2021-05-07,27,56
2021-05-07,28,782
2021-05-07,28,485
2021-05-07,28,340
2021-05-07,28,243
2021-05-07,28,50
2021-05-07,29,191
2021-05-07,29,405
2021-05-07,29,131
2021-05-07,29,260
2021-05-07,29,4
2021-05-07,30,212
2021-05-07,30,320
2021-05-07,30,84
2021-05-07,30,237
2021-05-07,30,6
2021-05-07,31,7
2021-05-07,31,250
2021-05-07,31,3
2021-05-07,31,131
2021-05-07,31,2
2021-05-07,32,62
2021-05-07,32,153
2021-05-07,32,37
2021-05-07,32,60
2021-05-07,32,3
2021-05-07,33,216
2021-05-07,33,161
2021-05-07,33,46
2021-05-07,33,47
2021-05-07,33,9
2021-05-07,34,29
2021-05-07,34,171
2021-05-07,34,8
2021-05-07,34,53
2021-05-07,34,5
2021-05-07,35,19
2021-05-07,35,278
2021-05-07,35,13
2021-05-07,35,150
2021-05-07,35,10
2021-05-07,36,108
2021-05-07,36,297
2021-05-07,36,24
2021-05-07,36,112
2021-05-07,36,12
2021-05-07,37,17
2021-05-07,37,167
2021-05-07,37,11
2021-05-07,37,127
2021-05-07,37,1
2021-05-07,38,134
2021-05-07,38,320
2021-05-07,38,57
2021-05-07,38,101
2021-05-07,38,13
2021-05-07,39,87
2021-05-07,39,803
2021-05-07,39,40
2021-05-07,39,571
2021-05-07,39,8
2021-05-07,40,571
2021-05-07,40,595
2021-05-07,40,162
2021-05-07,40,347
2021-05-07,40,44
2021-05-07,41,134
2021-05-07,41,306
2021-05-07,41,36
2021-05-07,41,141
2021-05-07,41,9
2021-05-07,42,284
2021-05-07,42,256
2021-05-07,42,75
2021-05-07,42,84
2021-05-07,42,12
2021-05-07,43,204
2021-05-07,43,698
